activityId,assetId,companyId,currentTripCost,driverEmergencyButton,driverId,humidity,insertionTime,isOccupied,latLng2,numberOfPassengers,originalTime,passengerEmergencyButton,readingId,requestTime,sensorStatus,sfdaSensorStatus,temprature,velocity,weight,latLng,lat,long
24,91248,3,,,,0,2021-08-31T22:27:00,,0x00000000010C6682E15CC3144440B071FDBB3ED33D40,,2021-08-31T22:26:00,,66033C2D-E202-4D3B-B0EE-2E1D9326C181,2021-08-31T22:27:00,1,,0,0,7002.810059,0x00000000010C6682E15CC3144440B071FDBB3ED33D40,29.825176,40.162212
24,114827,3,,,68307,0,2021-08-31T22:27:00,,0x00000000010CE9818FC18A8B4440F52D73BA2C223340,,2021-08-31T22:27:00,,5435E063-D669-4C0A-B008-2733D4954AC1,2021-08-31T22:27:00,1,,0,0,6044.689941,0x00000000010CE9818FC18A8B4440F52D73BA2C223340,19.133495,41.090172
24,119350,3,,,65273,0,2021-08-31T22:27:00,,0x00000000010CE69315C3D5774640917D9065C1CC3C40,,2021-08-31T22:26:00,,4ED1929E-D66D-46F7-B22E-31D9EB532C9B,2021-08-31T22:27:00,2,,0,0,12000,0x00000000010CE69315C3D5774640917D9065C1CC3C40,28.799826,44.936211
24,130262,3,,,,0,2021-08-31T22:45:00,,0x00000000010CA435069D106E4740B6F5D37FD69C3840,,2021-08-31T22:45:00,,EDCEAD94-BCC0-4318-9D22-C68851DB7171,2021-08-31T22:45:00,1,,0,0,8095.390137,0x00000000010CA435069D106E4740B6F5D37FD69C3840,24.612648,46.859882
0,12260,7,,,5182,,2021-08-31T22:45:00,,0x00000000010CF84F3750E05D4540F3AD0FEB8D563240,,2021-08-31T22:43:00,,548351DD-CCD3-45ED-89C3-D0BB05894E31,2021-08-31T22:45:00,2,,,0,15146,0x00000000010CF84F3750E05D4540F3AD0FEB8D563240,18.338103,42.733408
0,119662,7,,,3062,,2021-08-31T22:45:00,,0x00000000010CE0F3C308E1054940593332C85D603A40,,2021-08-31T22:42:00,,4EA73AC8-72FC-4728-8C45-7F23786CC15C,2021-08-31T22:45:00,2,,,0,45000,0x00000000010CE0F3C308E1054940593332C85D603A40,26.376431,50.04593
0,102010,7,,,24639,,2021-08-31T22:45:00,,0x00000000010CD33252EFA92245404208C897504D3B40,,2021-08-31T22:45:00,,76B918B3-734D-4AA0-8C6A-A3452DF93639,2021-08-31T22:45:00,3,,,20,15082,0x00000000010CD33252EFA92245404208C897504D3B40,27.302011,42.270811
0,4515,7,,,4291,,2021-08-31T22:45:00,,0x00000000010CF3565D876A6E47404B3B35971BA03840,,2021-08-31T22:41:00,,AA7015B3-8333-4556-BE26-1B38D7914911,2021-08-31T22:45:00,2,,,0,14622,0x00000000010CF3565D876A6E47404B3B35971BA03840,24.625421,46.862626
0,5936,7,,,4020,,2021-08-31T22:45:00,,0x00000000010C394206F2EC524740E8DB82A5BA943840,,2021-08-31T22:44:00,,9D8B7D61-612F-4690-BDA3-925711ED3240,2021-08-31T22:45:00,2,,,0,21960,0x00000000010C394206F2EC524740E8DB82A5BA943840,24.580973,46.647856
0,19624,7,,,9029,,2021-08-31T22:45:00,,0x00000000010CC91F0C3CF7964340F60D4C6E14813640,,2021-08-31T22:40:00,,116DB973-BDAE-4D5B-880A-DB707B900449,2021-08-31T22:45:00,2,,,0,35681,0x00000000010CC91F0C3CF7964340F60D4C6E14813640,22.504218,39.17942
24,33220,3,,,,0,2021-08-31T22:45:00,,0x00000000010C000000E01EA8454000000020D5103340,,2021-08-31T22:44:00,,FCA395D9-591A-403B-9534-0BA578875D85,2021-08-31T22:45:00,3,,0,30,16200,0x00000000010C000000E01EA8454000000020D5103340,19.06575203,43.31344223
0,48671,7,,,15490,,2021-08-31T22:45:00,,0x00000000010C992A1895D4E544401F1329CDE63D3340,,2021-08-31T22:45:00,,71FDEEAD-2197-4831-AF47-DAB3DD619229,2021-08-31T22:45:00,3,,,64,15818,0x00000000010C992A1895D4E544401F1329CDE63D3340,19.241803,41.79555
0,51735,7,,,383,,2021-08-31T22:45:00,,0x00000000010C2DB308C556C847407AE3A430EF253940,,2021-08-31T22:45:00,,6717540F-305F-4D4E-B3A3-460E9F9F41E5,2021-08-31T22:45:00,3,,,70,14569,0x00000000010C2DB308C556C847407AE3A430EF253940,25.148181,47.565148
0,147299,7,,,51578,,2021-08-31T22:45:00,,0x00000000010C10ECF82F106C474023861DC6A4AB3840,,2021-08-31T22:43:00,,E9352C80-A435-4163-A0A6-82DBB864D4F4,2021-08-31T22:45:00,2,,,0,15670,0x00000000010C10ECF82F106C474023861DC6A4AB3840,24.670483,46.844244
